company_name,dapp_name,Vulnerability,swc_type,granularity,location,vulnerable_link
BlockSec,blocksec_alpaca_v1.0_signed,Considering the Impact of Transaction Ordering Dependency,Transaction Order Dependence,Function Level,"268-324, 214-261","https://github.com/alpaca-finance/bsc-alpaca-contract/blob/cb13e32fe5a4ba6f63b0235bd4624715592e4abe/contracts/8.10/protocol/DeltaNeutralVault.sol#L214-L261, https://github.com/alpaca-finance/bsc-alpaca-contract/blob/cb13e32fe5a4ba6f63b0235bd4624715592e4abe/contracts/8.10/protocol/DeltaNeutralVault.sol#L268-L324"
BlockSec,blocksec_alpaca_v1.0_signed,Potential Precision Loss,Integer Overflow and Underflow,Line Level,"232,408,414",https://github.com/alpaca-finance/bsc-alpaca-contract/blob/cb13e32fe5a4ba6f63b0235bd4624715592e4abe/contracts/8.10/protocol/DeltaNeutralVault.sol#L232
BlockSec,blocksec_alpaca_v1.0_signed,Unreturned Values,not_swc,,,
BlockSec,blocksec_alpaca_v1.0_signed,Unchecked Initialization Parameters,not_swc,,,
BlockSec,blocksec_alpaca_v1.0_signed,Unlimited Withdraw Value,Unprotected Ether Withdrawal,Function Level,268-324,https://github.com/alpaca-finance/bsc-alpaca-contract/blob/cb13e32fe5a4ba6f63b0235bd4624715592e4abe/contracts/8.10/protocol/DeltaNeutralVault.sol#L268-L324
BlockSec,blocksec_alpaca_v1.0_signed,Potential Locking of Native Tokens,not_swc,,,
BlockSec,blocksec_alpaca_v1.0_signed,Unchecked Price,Block values as a proxy for time,Line Level,70,https://github.com/alpaca-finance/bsc-alpaca-contract/blob/cb13e32fe5a4ba6f63b0235bd4624715592e4abe/contracts/8.10/protocol/DeltaNeutralVault.sol#L70
BlockSec,blocksec_alpaca_v1.0_signed,Potential Locked Tokens,not_swc,,,
BlockSec,blocksec_alpaca_v1.0_signed,Avoiding Inconsistency Checks in the Worker Contracts,not_swc,,,
BlockSec,blocksec_multichain_vemult_v1.0_signed,Access Out Of Bounds in the getBlockByTime Function,DoS with Failed Call,Function Level,118-142,https://github.com/anyswap/veMULTI/blob/bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc/contracts/VEReward.sol
BlockSec,blocksec_multichain_vemult_v1.0_signed,Unchecked Arrays in the claimRewardMany Function,DoS With Block Gas Limit,Line Level,270,https://github.com/anyswap/veMULTI/blob/bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc/contracts/VEReward.sol#L270
BlockSec,blocksec_multichain_vemult_v1.0_signed,Check Zero Address In the ve.ownerOf Function,Delegatecall to Untrusted Callee,Line Level,491,https://github.com/anyswap/veMULTI/blob/bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc/contracts/ve.sol
BlockSec,blocksec_multichain_vemult_v1.0_signed,Unchecked ERC-721 Callback Result,Unchecked Call Return Value,Line Level,679,https://github.com/anyswap/veMULTI/blob/bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc/contracts/ve.sol#L679
BlockSec,blocksec_multichain_vemult_v1.0_signed,Improper Check for the Return Values of the transferFrom Function,not_swc,,,
BlockSec,blocksec_multichain_vemult_v1.0_signed,Incorrect Address Used in the _burn Function,not_swc,,,
BlockSec,blocksec_multichain_vemult_v1.0_signed,Inconsistent Implementation of the Burn Logic,not_swc,,,
BlockSec,blocksec_multichain_vemult_v1.0_signed,Inconsistent Handling of Epoch Time,not_swc,,,
BlockSec,blocksec_multichain_vemult_v1.0_signed,Inconsistent End Time in the addEpochBatch Function,not_swc,,,
BlockSec,blocksec_multichain_vemult_v1.0_signed,Inconsistent Implementation of the Reward Calculation,not_swc,,,
BlockSec,blocksec_multichain_vemult_v1.0_signed,Implement Secure Logic for the transferAdmin Function,not_swc,,,
BlockSec,blocksec_multichain_vemult_v1.0_signed,Avoid Continuous Divisions in the _pendingRewardSingle Function,not_swc,,,
BlockSec,blocksec_multichain_vemult_v1.0_signed,Alleviate the Concern of Potential Centrality,not_swc,,,
BlockSec,blocksec_multichain_vemult_v1.0_signed,Follow the Checks-Effects-Interactions Pattern,Reentrancy,Line Level,1095-1098,https://github.com/anyswap/veMULTI/blob/bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc/contracts/ve.sol#L1095-L1098
BlockSec,blocksec_stnd_v1.7_signed,The VaultManager contract does not handle the debt decimals when judging whether it is a valid CDP,Integer Overflow and Underflow,Line Level,162,https://github.com/digitalnativeinc/standard-evm/blob/d7c016ca098a4e5a554583c499fc0cead4db7088/contracts/vaults/meter/VaultManager.sol#L162
BlockSec,blocksec_stnd_v1.7_signed,Uninitialized CDP vaults may incur infifinite MTR minted,not_swc,,,
BlockSec,blocksec_stnd_v1.7_signed,Incorrect usage to the function isValidCDP may incur infifinite MTR minted,not_swc,,,
BlockSec,blocksec_stnd_v1.7_signed,The local variables collateral and debt shadow the global ones,Shadowing State Variables,Line Level,77-78,https://github.com/digitalnativeinc/standard-evm/blob/d7c016ca098a4e5a554583c499fc0cead4db7088/contracts/vaults/meter/Vault.sol#L77-L78
BlockSec,blocksec_stnd_v1.7_signed,Fees can not be distributed as expected due to the unreachable branch,not_swc,,,
BlockSec,blocksec_stnd_v1.7_signed,Potential mistakes,not_swc,,,
BlockSec,blocksec_stnd_v1.7_signed,Anyone can withdraw the liquidated collaterals,Unprotected Ether Withdrawal,Line Level,34,https://github.com/digitalnativeinc/standard-evm/blob/d7c016ca098a4e5a554583c499fc0cead4db7088/contracts/pools/liquidation/Liquidator.sol
BlockSec,blocksec_stnd_v1.7_signed,The check in the function liquidate can not be passed,not_swc,,,
BlockSec,blocksec_stnd_v1.7_signed,The global variable borrow is not be updated correctly,not_swc,,,
BlockSec,blocksec_stnd_v1.7_signed,Users’ collaterals may be locked in vaults,not_swc,,,
BlockSec,blocksec_stnd_v1.7_signed,The potential reentrancy risk,Reentrancy,Function Level,178-209,https://github.com/digitalnativeinc/standard-evm/blob/d7c016ca098a4e5a554583c499fc0cead4db7088/contracts/vaults/meter/Vault.sol
BlockSec,blocksec_stnd_v1.7_signed,The minting cap may be bypassed,Reentrancy,Function Level,216-226,https://github.com/digitalnativeinc/standard-evm/blob/d7c016ca098a4e5a554583c499fc0cead4db7088/contracts/vaults/meter/Vault.sol
BlockSec,blocksec_stnd_v1.7_signed,Price manipulation attacks against FeeRoll contract,not_swc,,,
BlockSec,blocksec_stnd_v1.7_signed,Finish the function mintFromVault,not_swc,,,
BlockSec,blocksec_stnd_v1.7_signed,Add more smart contracts in the audit list,not_swc,,,
BlockSec,blocksec_stnd_v1.7_signed,Make the codes and comments consistent,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],False approval mechanism in AaveDeposit,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Key should be private to enforce proper use,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Function can be exported to library,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],LendingPoolAddress can be set by anyone,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Prevent contract to be initialized multiple times,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],SwapToPositionRatio function can be called by anyone,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],UniswapAddressHolder variables can be set by anyone,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Access protection is not working in modifier,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Swap is not safe for front-runs,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Logic to find best pool does not find best one,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Missing liquidity in Aave deposit,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Relying on external security promises for ticks,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Unsafe cast to int24,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Severe over-/underflow risk without SafeMath,Integer Overflow and Underflow,Line Level,131,https://github.com/FiveElementsLabs/orbit-defi/blob/541460999b7d8fa80c4a4a86383f583392436b67/contracts/modules/IdleLiquidityModule.sol#L131
Byterocket,Orbit DeFi[05.29.2022],Empty data doesn’t always revert,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Wrong comparison operator,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Misleading or wrong documentation,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Not making use of SafeMath where appropriate,Integer Overflow and Underflow,Line Level,"11-74, 53-54","https://github.com/FiveElementsLabs/orbit-defi/blob/541460999b7d8fa80c4a4a86383f583392436b67/contracts/helpers/SwapHelper.sol#L11-L74, https://github.com/FiveElementsLabs/orbit-defi/blob/541460999b7d8fa80c4a4a86383f583392436b67/contracts/actions/ZapIn.sol#L53-L54"
Byterocket,Orbit DeFi[05.29.2022],Faulty reliance on data to be present,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Use of 32 bits does not save gas,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Use of unsafe ERC20 transfers,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Non-standard delete from array pattern,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Undocumented constant value,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Invalid documentation,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Wrong use of allowance,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Use underscores for large numerals,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Not using the getStorage function,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Unnecessary double function exposed,Code With No Effects,Line Level,87,https://github.com/FiveElementsLabs/orbit-defi/blob/541460999b7d8fa80c4a4a86383f583392436b67/contracts/PositionManagerFactory.sol#L87
Byterocket,Orbit DeFi[05.29.2022],Unnecessary deadline extension,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Insufficient state-modifying function,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Wrong type used for Uniswap V3,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Not using the default method for maximum values,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Making use of undocumented side-effect,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Only emit events if the state changed,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Relying on false guarantees,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Use of transferFrom instead of transfer,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Unchangeable global variables should be immutable,not_swc,,,
Byterocket,Orbit DeFi[05.29.2022],Missing visibility keyword,State Variable Default Visibility,Line Level,"13-14, 22, 17, 17-18, 18-19","https://github.com/FiveElementsLabs/orbit-defi/blob/541460999b7d8fa80c4a4a86383f583392436b67/contracts/PositionManager.sol#L13-L14, https://github.com/FiveElementsLabs/orbit-defi/blob/541460999b7d8fa80c4a4a86383f583392436b67/contracts/modules/AaveModule.sol#L22, https://github.com/FiveElementsLabs/orbit-defi/blob/541460999b7d8fa80c4a4a86383f583392436b67/contracts/modules/AutoCompoundModule.sol#L17, https://github.com/FiveElementsLabs/orbit-defi/blob/541460999b7d8fa80c4a4a86383f583392436b67/contracts/utils/DepositRecipes.sol#L17-L18, https://github.com/FiveElementsLabs/orbit-defi/blob/541460999b7d8fa80c4a4a86383f583392436b67/contracts/utils/WithdrawRecipes.sol#L18-L19"
Coinspect,Incognito Audit,Outdated Solidity version,Outdated Compiler Version,Line Level,1,https://github.com/incognitochain/bridge-eth/blob/4879219669a38d601265582f815596b6775855b6/bridge/contracts/incognito_proxy.sol#L1
Coinspect,Incognito Audit,Ambiguous signatures in requestWithdraw and execute,not_swc,,,
Coinspect,Incognito Audit,Function claim in TransparentUpgradableProxy is not transparent,Function Default Visibility,Function Level,298-302,https://github.com/incognitochain/bridge-eth/blob/4879219669a38d601265582f815596b6775855b6/bridge/contracts/transparentUpgraded.sol#L298-L302
Coinspect,Incognito Audit,Integer overflows in functions withdraw and submitBurnProof,Integer Overflow and Underflow,Line Level,"336,408",https://github.com/incognitochain/bridge-eth/blob/4879219669a38d601265582f815596b6775855b6/bridge/contracts/vault.sol
Coinspect,Incognito Audit,Free parameters in function execute controllable by front-runners,Transaction Order Dependence,Line Level,520,https://github.com/incognitochain/bridge-eth/blob/4879219669a38d601265582f815596b6775855b6/bridge/contracts/vault.sol
Coinspect,Incognito Audit,Uses of require without error string,not_swc,,,
Coinspect,Incognito Audit,Unnecessary payable function,not_swc,,,
Coinspect,Incognito Audit,Invalid signatures accepted as signed by address(0),not_swc,,,
Coinspect,Incognito Audit,Partially arbitrary external calls controllable by users,Unprotected Ether Withdrawal,Function Level,510-545,https://github.com/incognitochain/bridge-eth/blob/4879219669a38d601265582f815596b6775855b6/bridge/contracts/vault.sol#L510-L545
Coinspect,Incognito Audit,Insufficient checks when swapping committees,not_swc,,,
Coinspect,Incognito Audit,Inconsistencies with committee swapping lead to race condition,not_swc,,,
consensys,0x_Protocol_v2,A malicious maker can empty a taker’s account of all tokens.,not_swc,,,
consensys,0x_Protocol_v2,MixinSignatureValidator: Insecure signature validator SignatureType.Caller,Lack of Proper Signature Verification,Function Level,51-58,https://github.com/0xProject/0x-monorepo/pull/1015/files#diff-303846d1bc6b014a253355f11d5722c2efd585de3aeac064f0d5d170af76b167#L51-L58
consensys,0x_Protocol_v2,Use of outdated multisig wallet,not_swc,,,
consensys,0x_Protocol_v2,AssetProxyOwner: Insufficient Testing,not_swc,,,
consensys,0x_Protocol_v2,AssetProxyOwner: timelocked transactions affected by changing wallet parameters,not_swc,,,
consensys,0x_Protocol_v2,AssetProxyOwner: removeAuthorizedAddressAtIndex requires multiple confirmations,not_swc,,,
consensys,0x_Protocol_v2,LibBytes: Insufficient Testing,not_swc,,,
consensys,0x_Protocol_v2,LibBytes: readBytes4 does not adhere to spec,not_swc,,,
consensys,0x_Protocol_v2,AssetProxyOwner: readBytes4 does not adhere to spec,not_swc,,,
consensys,0x_Protocol_v2,MixinAuthorizable: Insufficient Testing,not_swc,,,
consensys,0x_Protocol_v2,ERC721Proxy: Insufficient Testing,not_swc,,,
consensys,0x_Protocol_v2,ERC721Proxy: fallback function silently fails,not_swc,,,
consensys,0x_Protocol_v2,ERC20Proxy: fallback function silently fails,not_swc,,,
consensys,0x_Protocol_v2,ERC20Proxy: Insufficient testing,not_swc,,,
consensys,0x_Protocol_v2,ERC721Token: inaccurate isContract function,not_swc,,,
consensys,0x_Protocol_v2,AssetProxyOwner: accepts ETH,not_swc,,,
consensys,0x_Protocol_v2,AssetProxyOwner duplicates code for readBytes4 function,not_swc,,,
consensys,0x_Protocol_v2,Outdated compiler version,Outdated Compiler Version,Line Level,19,https://github.com/0xProject/0x-monorepo/blob/a05b14e4d9659be1cc495ee33fd8962ce773f87f/packages/contracts/src/2.0.0/protocol/AssetProxyOwner/AssetProxyOwner.sol
consensys,0x_Protocol_v2,Use of this.balance in WETH9.sol,not_swc,,,
consensys,0x_Protocol_v2,ERC20Proxy: Reconsider use of inline assembly,not_swc,,,
consensys,0x_Protocol_v2,ERC20Proxy: Unclear comments,not_swc,,,
consensys,0x_Protocol_v2,ERC20Proxy/ERC721Proxy: LibBytes imported but not used,Code With No Effects,Line Level,21,https://github.com/0xProject/0x-monorepo/blob/a05b14e4d9659be1cc495ee33fd8962ce773f87f/packages/contracts/src/2.0.0/protocol/AssetProxy/ERC20Proxy.sol
consensys,0x_Protocol_v2,LibBytes is imported but never used,Code With No Effects,Line Level,31,https://github.com/0xProject/0x-monorepo/blob/a05b14e4d9659be1cc495ee33fd8962ce773f87f/packages/contracts/src/2.0.0/protocol/Exchange/MixinAssetProxyDispatcher.sol
consensys,0x_Protocol_v2,Optimization: refine function visibilities in the Exchange for gas efficiency,not_swc,,,
consensys,0x_Protocol_v2,LibConstants: dynamic constructor initialisation,not_swc,,,
consensys,0x_v3_Staking,Delegated stake weight reduction can be bypassed by using an external contract,Delegatecall to Untrusted Callee,Subcontract Level,1-349,https://github.com/0xProject/0x-monorepo/blob/b8e01d7be535196a3145a431291183ecfbb333c6/contracts/staking/contracts/src/staking_pools/MixinStakingPool.sol#L1-L349
consensys,0x_v3_Staking,MixinParams.setParams bypasses safety checks made by standard StakingProxy upgrade path.,not_swc,,,
consensys,0x_v3_Staking,Authorized addresses can indefinitely stall ZrxVaultBackstop catastrophic failure mode,not_swc,,,
consensys,0x_v3_Staking,LibMath functions fail to catch a number of overflows,Integer Overflow and Underflow,Function Level,362-369,https://github.com/0xProject/0x-monorepo/blob/a22ba8647c1bdcb6f992c2b4338a4286d9712e4f/contracts/staking/contracts/src/libs/LibFixedMath.sol
consensys,0x_v3_Staking,Remove unneeded fields from StoredBalance and Pool structs,not_swc,,,
consensys,0x_v3_Staking,Pool IDs can just be incrementing integers,not_swc,,,
consensys,0x_v3_Staking,LibProxy.proxyCall() may overwrite important memory,not_swc,,,
consensys,0x_v3_Staking,Use of tx.origin as a part of authorization control,Authorization through tx.origin,Line Level,"147,175",0x-monorepo/MixinCoordinatorApprovalVerifier.sol at 90193c81978a486762f37ebde3983182ab17f6f9 · 0xProject/0x-monorepo · GitHub
consensys,0x_v3_Staking,State variable shadows another state variable,Shadowing State Variables,Line Level,39,https://github.com/0xProject/0x-monorepo/blob/90193c81978a486762f37ebde3983182ab17f6f9/contracts/dev-utils/contracts/src/LibAssetData.sol#L39
consensys,0x_v3_Staking,A control flow decision is made based on a predictable,Block values as a proxy for time,Line Level,70,https://github.com/0xProject/0x-monorepo/blob/90193c81978a486762f37ebde3983182ab17f6f9/contracts/staking/contracts/src/sys/MixinScheduler.sol#L70
consensys,0x_v3_Staking,The binary addition can overflow,Integer Overflow and Underflow,Line Level,304， 339， 388， 418， 478，,https://github.com/0xProject/0x-monorepo/blob/90193c81978a486762f37ebde3983182ab17f6f9/contracts/utils/contracts/src/LibBytes.sol#L304
consensys,0x_v3_Staking,Anyone can withdraw ETH from the contract account.,Unprotected Ether Withdrawal,Line Level,66,0x-monorepo/Refundable.sol at 90193c81978a486762f37ebde3983182ab17f6f9 · 0xProject/0x-monorepo · GitHub
consensys,0x_v3_Staking,LibFixedMath functions fail to catch a number of overflows,Integer Overflow and Underflow,Line Level,359-376,https://github.com/0xProject/0x-monorepo/blob/b8e01d7be535196a3145a431291183ecfbb333c6/contracts/staking/contracts/src/libs/LibFixedMath.sol
consensys,0x_v3_Staking,Remove unneeded fields from StoredBalance and Pool structs Mi,Code With No Effects,Line Level,"61,113",https://github.com/0xProject/0x-monorepo/blob/b8e01d7be535196a3145a431291183ecfbb333c6/contracts/staking/contracts/src/interfaces/IStructs.sol
consensys,0x_v3_Staking,Anyone can remove a maker’s pending pool join status,not_swc,,,
consensys,0x_v3_Staking,Pool 0 can be used to temporarily prevent makers from joining another pool,not_swc,,,
consensys,0x_v3_Staking,Recommendation: Fix weak assertions in MixinStakingPool stemming from use of NIL_POOL_ID,not_swc,,,
consensys,0x_v3_Staking,Recommendation: Remove MixinAbstract and fold MixinStakingPoolRewards into MixinFinalizer and MixinStake,not_swc,,,
consensys,0x_v3_Staking,Recommendation: remove confusing access to activePoolsThisEpoch,not_swc,,,
consensys,0x_v3_Staking,Recommendation: remove MixinFinalizer._getUnfinalizedPoolRewardsFromState,not_swc,,,
consensys,0x_v3_Staking,Recommendation: remove complicating getters from MixinStakingPoolRewards,not_swc,,,
consensys,0x_v3_Staking,Recommendation: remove unneeded dependency on MixinStakeBalances,not_swc,,,
consensys,0x_v3_Staking,Misleading MoveStake event when moving stake from UNDELEGATED to UNDELEGATED,not_swc,,,
consensys,0x_v3_Staking,The staking contracts contain several artifacts of a quickly-changing codebase,not_swc,,,
consensys,0x_v3_Staking,Remove unnecessary fallback function in Staking contract,Code With No Effects,Function Level,36-39,https://github.com/0xProject/0x-monorepo/blob/b8e01d7be535196a3145a431291183ecfbb333c6/contracts/staking/contracts/src/Staking.sol
consensys,Bounties_Network,Use safe math for arithmetic operations,Integer Overflow and Underflow,Line Level,246,https://github.com/Bounties-Network/StandardBounties/blob/3d7c1771f78c5afdd896e2e2d34cf3dfc7fd4813/contracts/StandardBounties.sol#L246
consensys,Bounties_Network,Approver/onlyIssuer can error if the list of approvers/issuers is empty,not_swc,,,
consensys,Bounties_Network,changeApprover/onlyIssuer can error if the list of approvers/issuers is empty,not_swc,,,
consensys,Bounties_Network,ERC721 can be stolen in many cases,not_swc,,,
consensys,Bounties_Network,Misprint in updateFulfillment,not_swc,,,
consensys,Bounties_Network,NFT with TokenID = 0 cannot be used,not_swc,,,
consensys,Bounties_Network,ETH contributions don't work with meta transactions,not_swc,,,
consensys,Bounties_Network,Add tests for meta transactions functionality,not_swc,,,
consensys,Bounties_Network,Make sure at least one issuer is set,not_swc,,,
consensys,Bounties_Network,Use correct sender when emitting events,not_swc,,,
consensys,Bounties_Network,Incompatible ERC721Basic transferFrom() function,not_swc,,,
consensys,Bounties_Network,Safeguard contribute() against invalid bounty.tokenversion,not_swc,,,
consensys,Bounties_Network,Change public methods to external,State Variable Default Visibility,Subcontract Level,1-722,https://github.com/Bounties-Network/StandardBounties/blob/3d7c1771f78c5afdd896e2e2d34cf3dfc7fd4813/contracts/StandardBounties.sol#L1
consensys,Bounties_Network,Use the same transfer function for consistency,not_swc,,,
consensys,Bounties_Network,Make contribute bail early if amount is zero,not_swc,,,
consensys,Bounties_Network,Require latest Solidity version,Floating Pragma,Line Level,1,https://github.com/Bounties-Network/StandardBounties/blob/3d7c1771f78c5afdd896e2e2d34cf3dfc7fd4813/contracts/StandardBounties.sol#L1
consensys,Bounties_Network,Explicitly declare State Variable Default Visibility,State Variable Default Visibility,Line Level,46，47,https://github.com/Bounties-Network/StandardBounties/blob/3d7c1771f78c5afdd896e2e2d34cf3dfc7fd4813/contracts/StandardBounties.sol#L46-L47
consensys,Bounties_Network,Use token interfaces instead of token implementation,not_swc,,,
consensys,Bounties_Network,"Rework project folder structure to reflect the sourceUnits role, use and purpose",not_swc,,,
consensys,Bounties_Network,Outdated documentation/specification,not_swc,,,
consensys,Bounties_Network,Do not save token address if tokenVersion is 0,not_swc,,,
consensys,Bounties_Network,Anyone can act as a contributor before any tokens of the contribution were sent,State Variable Default Visibility,Function Level,243-262,https://github.com/Bounties-Network/StandardBounties/blob/3d7c1771f78c5afdd896e2e2d34cf3dfc7fd4813/contracts/StandardBounties.sol#L243-L262
consensys,Brickblock,AndEndFunding ends by calling buyAndContinueFunding,not_swc,,,
consensys,Brickblock,Unused variable has no dummy check in ExchangeRateProviderStub,not_swc,,,
consensys,Brickblock,Unnecessary static call to get POA Manager's address in POA proxy,not_swc,,,
consensys,Brickblock,Unnecessary static call to fetch registry's address in POA Proxy,not_swc,,,
consensys,Brickblock,Usage of EntityState for both brokers and tokens in PoaManager is an anti-separation?of-concerns pattern,not_swc,,,
consensys,Brickblock,Unused variable has no dummy check-in ExchangeRateProviderStub,Code With No Effects,Line Level,53-54,https://github.com/brickblock-io/smart-contracts/blob/f1f5b04722b9569e1d4c0b62ac4c490c0a785fd8/contracts/ExchangeRateProvider.sol
consensys,Brickblock,buyAndEndFunding ends by calling buyAndContinueFunding,not_swc,,,
consensys,Brickblock,Usage of EntityState for both brokers and tokens in PoaManager is an antiseparation-of-concerns pattern,not_swc,,,
consensys,Brickblock,Unnecessary complexity in toXLengthString functions in PoaCommon,not_swc,,,
consensys,Brickblock,No plan for how a physical tokenized asset would handle a chain split,not_swc,,,
consensys,Brickblock,Usage of random storage slots in the Proxy adds too much complexity,not_swc,,,
consensys,Brickblock,Unnecessary usage of low-level .call() method,Reentrancy,Line Level,184,https://github.com/brickblock-io/smart-contracts/blob/6360f5e1ba0630fa0caf82ff9b58b2dc5e9e1b53/contracts/PoaCommon.sol#L184
consensys,Brickblock,Withdraw method does not check if balance is sufficient for the withdrawal,Unprotected Ether Withdrawal,Function Level,87-98,https://github.com/brickblock-io/smart-contracts/blob/6360f5e1ba0630fa0caf82ff9b58b2dc5e9e1b53/contracts/BrickblockAccount.sol#L87
consensys,Brickblock,Can lock and unlock 0 BBK in AccessToken,not_swc,,,
consensys,Brickblock,Precision in percent function can overflow,Integer Overflow and Underflow,Line Level,"292,297",https://github.com/brickblock-io/smart-contracts/blob/6360f5e1ba0630fa0caf82ff9b58b2dc5e9e1b53/contracts/PoaCrowdsale.sol#L297
consensys,Brickblock,Transaction order dependence issue in ExchangeRates,not_swc,,,
consensys,Brickblock,Non-optimal ordering of instructions in PoaProxy and PoaToken fallback functions,not_swc,,,
consensys,Brickblock,ExchangeRateProvider's callback check for access control is non-optimal,not_swc,,,
consensys,Brickblock,Inaccurate specification comment for setFailed() method in PoaCrowdsale,not_swc,,,
consensys,Brickblock,Unnecessary fallback functions to refuse payments,Code With No Effects,Function Level,300-305,https://github.com/brickblock-io/smart-contracts/blob/f1f5b04722b9569e1d4c0b62ac4c490c0a785fd8/contracts/AccessToken.sol
consensys,Brickblock,Comment about upgrade path is incorrect,not_swc,,,
consensys,Brickblock,FeeManager open-by-default design might introduce flaws in the token economy,not_swc,,,
consensys,Brickblock,Unnecessary refund action in PoaCrowdsale,not_swc,,,
consensys,Brickblock,this should be explicitly typecast to address,not_swc,,,
consensys,Brickblock,Blocking conditions in buyFiat,not_swc,,,
consensys,Brickblock,Use of ever-growing unsigned integers in PoaToken is dangerous,not_swc,,,
consensys,Brickblock,Use of ever-growing unsigned integers in AccessToken is dangerous,Integer Overflow and Underflow,Subcontract Level,1-333,https://github.com/brickblock-io/smart-contracts/blob/6360f5e1ba0630fa0caf82ff9b58b2dc5e9e1b53/contracts/AccessToken.sol
consensys,Brickblock,Non-optimal stage checking condition in PoaToken,not_swc,,,
consensys,Brickblock,Contradicting comment on POAManager,not_swc,,,
consensys,Brickblock,Inconsistent type used for decimals,not_swc,,,
consensys,Brickblock,Inconsistent event naming,not_swc,,,
consensys,Brickblock,Incorrect name of parameter in BBKUnlockedEvent,not_swc,,,
